tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0492500,tvEpisode,Jahrhundert-Hits,Jahrhundert-Hits,2005,\N,Talk-Show
tt0492501,videoGame,Vet Emergency,Vet Emergency,2001,\N,\N
tt0492502,movie,Wide Awake,Wide Awake,2006,79,Documentary
tt0492503,tvEpisode,Ausgegraben,Ausgegraben,2005,90,"Crime,Thriller"
tt0492505,videoGame,Wonder Dog,Wonder Dog,1992,\N,"Action,Adventure,Comedy"
tt0492506,movie,Wordplay,Wordplay,2006,94,Documentary
tt0492508,tvMiniSeries,Battle of the Atlantic,Battle of the Atlantic,2002,146,"Documentary,History,War"
tt0492509,tvSeries,Budgie the Little Helicopter,Budgie the Little Helicopter,1994,11,"Animation,Family"
tt0492510,tvSeries,Build a New Life in the Country,Build a New Life in the Country,2005,48,Documentary
tt0492511,tvSeries,Cage Rage,Cage Rage,2005,\N,Sport
tt0492512,tvSeries,Car Cruzin,Car Cruzin,2005,23,Documentary
tt0492513,tvSeries,En votre âme et conscience,En votre âme et conscience,1955,\N,"Crime,Drama,Mystery"
tt0492514,tvSeries,House of Horrors,House of Horrors,1998,60,Documentary
tt0492515,tvSeries,The National Lottery: Millionaire Manor,The National Lottery: Millionaire Manor,2005,40,Game-Show
tt0492516,tvSeries,Die Oase,Die Oase,1993,25,Crime
tt0492517,tvSeries,Soapstar Superstar,Soapstar Superstar,2006,\N,"Music,Reality-TV"
tt0492518,tvSeries,Le tour du monde en 80 jours,Le tour du monde en 80 jours,1980,5,Adventure
tt0492519,tvSeries,Das verbotene Spiel,Das verbotene Spiel,1979,30,Sci-Fi
tt0492520,tvSeries,Wogan Now & Then,Wogan Now & Then,2006,45,Talk-Show
tt0492521,video,War of the Worlds: Characters - The Family Unit,War of the Worlds: Characters - The Family Unit,2005,13,Short
tt0492522,video,War of the Worlds : Previsualization,War of the Worlds: Previsualization,2005,8,Short
tt0492527,video,War of the Worlds: Revisiting the Invasion,War of the Worlds: Revisiting the Invasion,2005,8,Short
tt0492529,movie,2-Feb,2-Feb,2005,\N,Drama
tt0492533,movie,The Intimate,Aein,2005,98,"Drama,Romance"
tt0492534,short,Russian Outposts Attacked by Japanese,An Affair of Outposts,1904,\N,"Short,War"
tt0492535,video,Afonja,Afonja,2002,\N,Drama
tt0492537,tvMovie,Alias Ricky Gervais,Alias Ricky Gervais,2004,46,Documentary
tt0492538,tvMovie,Alias: The Story So Far,Alias: The Story So Far,2004,23,Documentary
tt0492545,tvMovie,Anderer Leute Kinder,Anderer Leute Kinder,1979,100,Drama
tt0492552,tvEpisode,Décibel,Décibel,1980,105,Comedy
tt0492553,tvEpisode,Peau de vache,Peau de vache,1980,118,Comedy
tt0492554,tvMovie,Ausgerechnet Weihnachten,Ausgerechnet Weihnachten,2005,90,Comedy
tt0492561,tvSpecial,The Big Fat Quiz of the Year,The Big Fat Quiz of the Year,2005,130,"Comedy,Game-Show"
tt0492571,videoGame,Bratz Rock Angelz,Bratz Rock Angelz,2005,77,Adventure
tt0492575,tvMovie,Cest beau,Cest beau,1980,95,Drama
tt0492576,short,La casa de los órganos,La casa de los órganos,2005,13,Short
tt0492577,tvMovie,Charmed: Lifes a Witch,Charmed: Lifes a Witch,2005,23,Documentary
tt0492578,short,La chica del pintalabios rojo,La chica del pintalabios rojo,2004,18,Short
tt0492580,movie,Ci mu xin,Ci mu xin,1960,\N,Drama
